id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,price,listings_count,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1534622,3074414,47.66606184551073,-122.29649179169957,1,1.0,1.0,1.0,3,1125,30,60,90,365,16,83.0,0.57,39.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,House,Private room,Real Bed,f,moderate,f,f
1136522,3074414,47.668421810344356,-122.29879283881901,6,1.0,1.0,2.0,2,60,30,60,90,365,15,87.0,0.5,115.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,Apartment,Entire home/apt,Real Bed,f,strict,f,f
5340242,3074414,47.675741790807,-122.29076695319513,3,1.0,1.0,2.0,3,1125,0,0,24,299,1,80.0,0.22,110.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
1541705,3074414,47.66660760510428,-122.29726469674051,1,1.0,1.0,1.0,2,1125,30,60,90,365,14,80.0,0.49,49.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,House,Private room,Real Bed,f,moderate,f,f
2610187,3074414,47.676351056996914,-122.28949875990207,3,1.0,0.0,2.0,3,1125,30,60,90,365,4,85.0,0.2,65.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
8253955,8350163,47.669407378312215,-122.3083481582267,6,1.0,1.0,3.0,7,1125,30,60,90,365,3,93.0,0.98,150.0,1,2015-09-06,100.0,f,t,f,University District,House,Entire home/apt,Real Bed,f,moderate,f,f
5020861,1324474,47.66449697379735,-122.31277272196077,3,1.0,1.0,1.0,1,1125,29,39,69,344,14,92.0,1.36,65.0,1,2011-10-23,100.0,f,t,t,University District,Apartment,Private room,Real Bed,f,strict,f,f
9611409,44101586,47.65993300424422,-122.3214421155834,2,1.0,1.0,1.0,1,5,29,59,88,88,0,0.0,0.0,45.0,1,2015-09-13,100.0,f,t,t,University District,Other,Private room,Pull-out Sofa,f,flexible,f,f
9282348,48203627,47.6621551618725,-122.30354468198406,2,0.5,1.0,1.0,1,1,0,0,0,34,0,0.0,0.0,35.0,1,2015-11-04,100.0,f,t,f,University District,Apartment,Private room,Futon,t,flexible,f,f
8939306,26967583,47.664224523375566,-122.30974096102815,2,1.0,1.0,1.0,1,1125,23,53,83,358,14,93.0,5.53,41.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
7561272,26967583,47.66664004133328,-122.31648237770113,2,1.0,1.0,1.0,1,1125,29,59,89,209,28,94.0,5.42,47.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8939433,26967583,47.66491324794354,-122.30976375393608,2,1.0,1.0,1.0,1,1125,10,29,59,334,12,87.0,5.07,43.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8939503,26967583,47.663393524597396,-122.31149608670376,2,1.0,1.0,1.0,1,1125,13,37,56,331,14,96.0,5.38,44.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8939687,26967583,47.66452089958867,-122.3095983235564,2,1.0,1.0,1.0,1,1125,15,35,63,338,8,83.0,3.87,45.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
7348578,26967583,47.66695592910637,-122.31559750434971,3,2.0,1.0,1.0,1,1125,23,53,82,82,30,89.0,5.26,40.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
7363462,26967583,47.66667724472578,-122.31634372180194,1,1.0,1.0,1.0,1,1125,29,59,88,88,28,89.0,5.0,45.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
7561254,26967583,47.667095685354774,-122.3168085938215,1,1.0,1.0,1.0,1,1125,24,54,84,173,15,95.0,2.92,41.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
7550234,26967583,47.66871492932789,-122.31631621598132,2,1.0,1.0,1.0,1,1125,28,58,86,86,23,94.0,4.45,40.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8939736,26967583,47.66312228589958,-122.30983960674463,2,1.0,1.0,1.0,1,1125,1,21,49,324,9,96.0,4.74,43.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8939595,26967583,47.662994720856474,-122.31022150527045,2,1.0,1.0,1.0,1,1125,24,51,81,356,14,87.0,5.38,47.0,21,2015-01-30,98.0,f,t,f,University District,House,Private room,Real Bed,t,strict,f,f
8409975,26967583,47.545156162482726,-122.26994043189569,2,1.0,1.0,1.0,1,1125,0,5,34,34,11,93.0,3.59,34.0,21,2015-01-30,98.0,f,t,f,Rainier Valley,House,Private room,Real Bed,t,strict,f,f
8409926,26967583,47.545520398498724,-122.26988586166964,3,1.0,1.0,2.0,1,29,12,42,71,71,15,92.0,4.21,35.0,21,2015-01-30,98.0,f,t,f,Rainier Valley,House,Private room,Real Bed,t,strict,f,f
7902382,26967583,47.517340677527564,-122.26137062343484,2,1.0,1.0,1.0,1,1125,22,52,81,111,16,95.0,3.5,35.0,21,2015-01-30,98.0,f,t,f,Rainier Valley,House,Private room,Real Bed,t,strict,f,f
